startno,startX,startY,startZ,valve,stopno,stopX,stopY,stopZ,valve,diameter,,,,,
1-126,128.9052583,35.15489312,0,1,1-125,128.9058795,35.15485813,0,1,100,,,,,
1-127,128.905192,35.15447471,0,2,1-130,128.9051322,35.15413973,0,0,100,,,,,
1-127,128.905192,35.15447471,0,1,1-128,128.9058443,35.15443796,0,0,100,,,,,
1-128,128.9058443,35.15443796,0,1,1-129,128.9058162,35.15410119,0,2,100,,,,,
1-128,128.9058443,35.15443796,0,0,1-128-1,128.9061154,35.15442268,0,0,100,,,,,
1-128-1,128.9061154,35.15442267,0,0,1-055,128.9063804,35.15453424,0,1,100,,,,,
1-129,128.9058162,35.15410119,0,0,1-132,128.9057832,35.15370552,0,0,100,,,,,
1-130,128.9051322,35.15413972,0,0,1-131,128.9050647,35.15374601,0,2,100,,,,,
1-130,128.9051322,35.15413972,0,1,1-129,128.9058162,35.15410119,0,1,100,,,,,
1-131,128.9050647,35.153746,0,0,1-134,128.9050141,35.15335133,0,0,100,,,,,
1-131,128.9050647,35.153746,0,1,1-132,128.9057832,35.15370552,0,1,100,,,,,
1-132,128.9057831,35.15370551,0,0,1-133,128.9057501,35.15330985,0,2,100,,,,,
1-133,128.9057501,35.15330985,0,0,1-136,128.905717,35.15291419,0,0,100,,,,,
1-134,128.9050141,35.15335132,0,0,1-135,128.9049553,35.15295712,0,2,100,,,,,
1-134,128.9050141,35.15335132,0,1,1-133,128.9057501,35.15330985,0,1,100,,,,,
1-135,128.9049552,35.15295711,0,0,1-138,128.9048921,35.15257218,0,1,100,,,,,
1-135,128.9049552,35.15295711,0,1,1-136,128.905717,35.15291419,0,1,100,,,,,
1-136,128.905717,35.15291419,0,0,1-137,128.9056847,35.15252751,0,1,100,,,,,
1-137,128.9056847,35.15252751,0,1,1-140,128.9056524,35.15214084,0,0,100,,,,,
1-137,128.9056847,35.15252751,0,0,1-058,128.9062103,35.1524979,0,1,100,,,,,
1-138,128.904892,35.15257217,0,2,1-139,128.9048677,35.15218506,0,2,100,,,,,
1-138,128.904892,35.15257217,0,1,1-137,128.9056847,35.15252751,0,2,100,,,,,
1-139,128.9048677,35.15218505,0,0,1-139-1,128.9048598,35.15201497,0,0,100,,,,,
1-139,128.9048677,35.15218505,0,1,1-140,128.9056524,35.15214084,0,1,100,,,,,
1-139-1,128.9048598,35.15201496,0,0,1-142,128.904888,35.15185867,0,0,100,,,,,
1-140,128.9056524,35.15214083,0,2,1-141,128.9056254,35.1518171,0,0,100,,,,,
1-142,128.9048879,35.15185866,0,0,1-141,128.9056254,35.1518171,0,0,100,,,,,
1-143,128.9051001,35.15145494,0,0,1-146,128.905055,35.15091466,0,2,50,,,,,
1-144,128.9055818,35.15142779,0,0,1-145,128.9055367,35.15088751,0,2,50,,,,,
1-145,128.9055367,35.1508875,0,2,1-149,128.9055086,35.15055029,0,0,50,,,,,
1-145,128.9055367,35.1508875,0,0,1-061,128.9060732,35.15085727,0,2,50,,,,,
1-146,128.9050549,35.15091466,0,2,1-148,128.9050268,35.15057744,0,0,50,,,,,
1-146,128.9050549,35.15091466,0,0,1-145,128.9055367,35.15088751,0,0,50,,,,,
1-146,128.9050549,35.15091466,0,2,1-147,128.9047537,35.15093163,0,0,50,,,,,
1-147,128.9047537,35.15093162,0,0,1-147-1,128.9047504,35.15070672,0,0,50,,,,,
1-147-1,128.9047504,35.15070671,0,0,1-147-2,128.9047463,35.1504224,0,0,50,,,,,
1-147-2,128.9047463,35.15042239,0,0,1-147-3,128.9047391,35.15027233,0,0,50,,,,,
1-147-3,128.9047391,35.15027232,0,0,1-147-4,128.9047509,35.15006333,0,0,50,,,,,
1-147-4,128.9047509,35.15006333,0,0,1-147-5,128.9047628,35.14995723,0,0,50,,,,,
1-147-5,128.9047627,35.14995722,0,0,1-147-6,128.9047659,35.14991038,0,0,50,,,,,
1-147-6,128.9047658,35.14991037,0,0,1-147-7,128.9049104,35.14973952,0,0,50,,,,,
1-147-7,128.9049104,35.14973951,0,0,1-152,128.9049666,35.14972478,0,2,50,,,,,
1-150,128.9054789,35.15019508,0,0,1-153,128.9054374,35.14969826,0,2,50,,,,,
1-151,128.9050081,35.15022161,0,0,1-152,128.9049666,35.14972478,0,2,50,,,,,
1-152,128.9049665,35.14972478,0,2,1-154,128.9049303,35.14929074,0,0,50,,,,,
1-152,128.9049665,35.14972478,0,0,1-153,128.9054374,35.14969826,0,0,50,,,,,
1-153,128.9054373,35.14969825,0,2,1-155,128.9054011,35.1492642,0,0,50,,,,,
1-153,128.9054373,35.14969825,0,0,1-062,128.9059739,35.14966802,0,2,50,,,,,
1-156,128.906735,35.14172953,2.06,0,1-157,128.9052121,35.14181538,1.91,0,100,,,,,
1-157,128.9052121,35.14181537,1.9,0,1-158,128.9052638,35.14141855,1.97,0,100,,,,,
1-158,128.9052638,35.14141854,1.97,1,1-161,128.9053074,35.14102218,1.92,0,100,,,,,
1-158,128.9052638,35.14141854,1.97,1,1-159,128.9067023,35.14133747,2.17,1,100,,,,,
1-159,128.9067022,35.14133746,2.17,0,1-156,128.9067351,35.14172954,2.06,0,100,,,,,
1-160,128.9066695,35.14094539,2.13,0,1-159,128.9067023,35.14133747,2.17,1,100,,,,,
1-161,128.9053074,35.14102217,1.92,0,1-162,128.9053668,35.14062492,1.78,0,100,,,,,
1-161,128.9053074,35.14102217,1.92,1,1-160,128.9066696,35.1409454,2.13,1,100,,,,,
1-162,128.9053667,35.14062491,1.78,1,1-163,128.9066368,35.14055332,2.01,1,100,,,,,
1-162,128.9053667,35.14062491,1.78,2,1-165,128.9055432,35.13971816,1.87,2,100,,,,,
1-163,128.9066368,35.14055331,2.01,0,1-160,128.9066696,35.1409454,2.13,0,100,,,,,
1-164,128.9065628,35.13966068,2.02,0,1-024,128.9065969,35.14007554,1.87,2,100,,,,,
1-165,128.9055432,35.13971815,1.87,1,1-164,128.9065628,35.13966068,2.02,1,100,,,,,
1-165,128.9055432,35.13971815,1.87,1,1-166,128.9056207,35.13931987,1.75,0,100,,,,,
1-166,128.9056207,35.13931986,1.75,1,1-167,128.9065408,35.13926801,1.96,1,100,,,,,
1-166,128.9056207,35.13931986,1.75,0,1-169,128.905721,35.1389203,1.6,0,100,,,,,
1-167,128.9065408,35.139268,1.96,0,1-164,128.9065628,35.13966068,2.02,0,100,,,,,
1-168,128.9065311,35.13887463,1.82,0,1-167,128.9065408,35.13926801,1.96,2,100,,,,,
1-169,128.9057209,35.13892029,1.6,1,1-168,128.9065311,35.13887464,1.82,1,100,,,,,
1-169,128.9057209,35.13892029,1.6,2,1-170,128.9058359,35.13849756,1.66,2,100,,,,,
1-170,128.9058359,35.13849755,1.66,1,1-171,128.9065336,35.13850575,1.7,1,100,,,,,
1-170,128.9058359,35.13849755,1.66,1,1-173,128.9059555,35.1378297,1.63,0,100,,,,,
1-171,128.9065335,35.13850574,1.7,2,1-168,128.9065311,35.13887464,1.82,0,100,,,,,
1-172,128.9065645,35.13785933,1.77,2,1-171,128.9065336,35.13850575,1.7,1,100,,,,,
1-173,128.9059555,35.13782969,1.63,1,1-172,128.9065645,35.13785934,1.77,1,100,,,,,
1-173,128.9059555,35.13782969,1.63,2,1-174,128.9060363,35.13729975,1.47,0,100,,,,,
1-174,128.9060363,35.13729975,1.46,0,1-175,128.9066116,35.13726732,1.59,1,100,,,,,
1-175,128.9066115,35.13726732,1.59,1,1-177,128.9066463,35.1368317,1.59,0,100,,,,,
1-175,128.9066115,35.13726732,1.59,2,1-172,128.9065645,35.13785934,1.77,0,100,,,,,
1-176,128.9078834,35.13676194,1.93,2,1-177,128.9066463,35.1368317,1.6,1,80,,,,,
1-177,128.9066463,35.1368317,1.6,2,1-178,128.9060944,35.13686281,1.45,0,80,,,,,
1-177,128.9066463,35.1368317,1.59,0,1-179,128.9066818,35.13638698,1.71,0,100,,,,,
1-178,128.9060943,35.13686281,1.45,1,1-182,128.906261,35.13613967,1.69,1,80,,,,,
1-179,128.9066818,35.13638698,1.71,0,1-025,128.906706,35.13611457,1.84,1,100,,,,,
1-179,128.9066818,35.13638698,1.72,1,1-180,128.9079189,35.13631723,1.91,1,80,,,,,
1-180,128.9079189,35.13631722,1.91,0,1-176,128.9078834,35.13676194,1.94,0,80,,,,,
1-181,128.9079406,35.13604496,1.85,1,1-180,128.9079189,35.13631723,1.91,0,80,,,,,
1-181,128.9079406,35.13604496,1.84,2,1-025,128.906706,35.13611457,1.84,1,100,,,,,
1-181,128.9079406,35.13604496,1.85,1,1-186,128.9079609,35.13580892,2.05,0,80,,,,,
1-182,128.9062609,35.13613966,1.69,1,1-191,128.9064615,35.1352694,2,2,80,,,,,
1-183,128.9067356,35.13587799,1.78,0,1-190,128.906853,35.13526262,2.06,1,80,,,,,
1-183,128.9067356,35.13587799,1.78,1,1-184,128.9072038,35.1358516,1.81,0,80,,,,,
1-184,128.9072037,35.13585159,1.81,2,1-185,128.9076722,35.13582519,1.94,0,80,,,,,
1-184,128.9072037,35.13585159,1.81,1,1-189,128.9072848,35.13525513,2.13,1,80,,,,,
1-185,128.9076722,35.13582518,1.94,0,1-186,128.9079609,35.13580892,2.05,1,80,,,,,
1-185,128.9076722,35.13582518,1.94,1,1-188,128.9077183,35.13524761,2.25,1,80,,,,,
1-186,128.9079608,35.13580891,2.05,0,1-187,128.9080046,35.13524265,2.41,2,80,,,,,
1-187,128.9080045,35.13524265,2.41,1,1-192,128.9081039,35.13399677,1.91,2,80,,,,,
1-188,128.9077182,35.13524761,2.25,0,1-187,128.9080046,35.13524265,2.41,1,80,,,,,
1-189,128.9072848,35.13525513,2.13,0,1-188,128.9077183,35.13524761,2.25,0,80,,,,,
1-190,128.906853,35.13526261,2.01,0,1-189,128.9072848,35.13525513,2.13,2,80,,,,,
1-191,128.9064614,35.13526939,2,1,1-194,128.9069407,35.13338585,2.18,2,80,,,,,
1-191,128.9064614,35.13526939,2,1,1-190,128.906853,35.13526262,2.01,0,80,,,,,
1-192,128.9081038,35.13399676,1.91,1,1-196,128.9081543,35.1333648,1.83,0,80,,,,,
1-193,128.9077199,35.13400342,1.98,0,1-192,128.9081039,35.13399677,1.91,1,80,,,,,
1-194,128.9069407,35.13338584,2.18,1,1-198,128.9070247,35.13302182,2.05,0,80,,,,,
1-194,128.9069407,35.13338584,2.18,1,1-195,128.9077037,35.13337261,1.89,2,80,,,,,
1-195,128.9077036,35.13337261,1.89,1,1-193,128.9077199,35.13400343,1.98,0,80,,,,,
1-195,128.9077036,35.13337261,1.89,0,1-196,128.9081543,35.1333648,1.83,1,80,,,,,
1-196,128.9081543,35.1333648,1.83,2,1-197,128.9081837,35.13299555,1.73,0,80,,,,,
1-197,128.9081837,35.13299554,1.73,0,1-201,128.9082155,35.13259623,2.01,2,80,,,,,
1-197,128.9081837,35.13299554,1.73,1,1-198,128.9070247,35.13302182,2.05,1,80,,,,,
1-198,128.9070247,35.13302181,2.05,0,1-199,128.9070766,35.13266045,1.96,2,80,,,,,
1-199,128.9070766,35.13266044,1.96,1,1-199-1,128.9071285,35.13223457,2.113,0,80,,,,,
1-199,128.9070766,35.13266044,1.96,1,1-200,128.9075881,35.13263161,1.99,0,80,,,,,
1-199-1,128.9071285,35.13223456,2.113,0,1-199-2,128.9071675,35.13214746,2.142,0,80,,,,,
1-199-2,128.9071675,35.13214745,2.142,0,1-204,128.9072434,35.13207866,2.17,0,80,,,,,
1-200,128.9075881,35.1326316,1.99,2,1-201,128.9082155,35.13259623,2.01,1,80,,,,,
1-200,128.9075881,35.1326316,1.99,1,1-203,128.9075901,35.13207322,2.25,1,80,,,,,
1-201,128.9082155,35.13259623,2.01,1,1-202,128.9082436,35.13224378,2.25,0,80,,,,,
1-203,128.9075901,35.13207322,2.25,2,1-203-1,128.9079075,35.13218277,2.25,0,80,,,,,
1-203-1,128.9079075,35.13218277,2.25,0,1-202,128.9082436,35.13224378,2.25,0,80,,,,,
1-204,128.9072434,35.13207866,2.17,0,1-204-1,128.9074157,35.13203282,2.21,0,80,,,,,
1-204-1,128.9074157,35.13203281,2.21,0,1-203,128.9075901,35.13207322,2.25,0,80,,,,,
1-205,128.9139518,35.15967244,0,2,1-205-1,128.915817,35.15956721,0,0,300,,,,,
1-205,128.9139518,35.15967244,0,1,1-071-5,128.9139217,35.15920629,0,0,200,,,,,
1-205-1,128.9158169,35.1595672,0,0,1-205-2,128.9166807,35.15949247,0,0,300,,,,,
1-205-2,128.9166807,35.15949247,0,0,1-205-3,128.9175356,35.15936636,0,0,300,,,,,
1-205-3,128.9175356,35.15936635,0,0,1-205-4,128.9183769,35.15918956,0,0,300,,,,,
1-205-4,128.918377,35.15918955,0,0,1-003,128.9192005,35.15896299,0,4,300,,,,,
1-206,128.9083391,35.13614898,1.61,0,1-027,128.9083493,35.13602192,1.69,0,600,,,,,
1-206,128.9083391,35.13614898,1.76,3,1-043,128.9086263,35.13613279,1.83,2,300,,,,,
1-40-1,128.9137046,35.13581067,3.025,1,2-029-1,128.914483,35.13577783,3.025,0,150,,,,,
2-001,128.9192458,35.13934627,1.495,0,2-032,128.9189312,35.13876509,1.895,2,150,,,,,
2-024,128.9124533,35.13575429,2.265,0,2-024-1,128.9133175,35.13570553,2.623,0,150,,,,,
2-024-1,128.9133175,35.13570552,2.623,0,1-041,128.9136676,35.13573095,2.755,2,150,,,,,
2-029,128.9172204,35.13594443,3.05,0,1-038-1,128.9165271,35.13644709,3.073,0,100,,,,,
2-029-1,128.914483,35.13577782,3.025,0,2-029-2,128.9151999,35.13581408,3.025,0,150,,,,,
2-029-2,128.9151998,35.13581407,3.025,0,2-029-3,128.9167518,35.13572853,3.025,0,150,,,,,
2-029-3,128.9167518,35.13572852,3.025,0,2-029-4,128.9169242,35.13574874,3.025,0,150,,,,,
2-029-4,128.9169241,35.13574874,3.025,0,2-029-5,128.9170715,35.13582507,3.025,0,150,,,,,
2-029-5,128.9170715,35.13582506,3.025,0,2-029,128.9172205,35.13594443,3.025,0,150,,,,,
2-031,128.9178054,35.13716369,2.735,0,2-023,128.9162413,35.13823041,1.865,0,150,,,,,
2-032,128.9189312,35.13876508,1.92,1,2-032-1,128.9192968,35.13859482,2.024,0,100,,,,,
2-032,128.9189312,35.13876508,1.895,0,2-031-1,128.9184064,35.13794626,2.315,0,150,,,,,
2-032-1,128.9192968,35.13859482,2.024,0,2-032-2,128.9194003,35.13851917,2.058,0,100,,,,,
2-031-1,128.9184064,35.13794626,2.315,0,2-031,128.9178054,35.1371637,2.735,1,150,,,,,
2-032-2,128.9194002,35.13851916,2.058,0,2-032-3,128.9194567,35.13841524,2.092,0,100,,,,,
2-032-3,128.9194567,35.13841523,2.092,0,2-032-4,128.9195192,35.13817129,2.167,0,100,,,,,
2-032-4,128.9195191,35.13817129,2.167,0,2-032-5,128.9195231,35.13807816,2.195,0,100,,,,,
2-032-5,128.9195231,35.13807816,2.195,0,2-032-6,128.9194882,35.13798948,2.223,0,100,,,,,
2-032-6,128.9194882,35.13798947,2.223,0,2-033,128.9185246,35.13668671,2.64,0,100,,,,,
2-033,128.9185245,35.1366867,2.64,0,2-031,128.9178054,35.1371637,2.85,1,100,,,,,
2-037,128.9101108,35.13588643,2.325,0,2-024,128.9124533,35.1357543,2.265,0,150,,,,,
2-037,128.9101108,35.13588643,2.105,1,2-130,128.9100769,35.13548088,2.245,0,150,,,,,
2-129,128.9089537,35.13554423,2.5,0,2-130,128.9100769,35.13548088,2.28,2,80,,,,,
2-130,128.9100769,35.13548087,2.28,1,2-131,128.9108716,35.13543605,2.54,0,80,,,,,
2-131,128.9108716,35.13543604,2.54,1,2-136,128.91084,35.13505838,2.59,0,80,,,,,
2-132,128.9115153,35.13539974,2.51,2,2-131,128.9108716,35.13543605,2.54,2,80,,,,,
2-132,128.9115153,35.13539974,2.51,1,2-137,128.9114837,35.13502206,2.65,0,80,,,,,
2-133,128.9124193,35.13534874,2.34,2,2-132,128.9115153,35.13539975,2.51,0,80,,,,,
2-133,128.9124193,35.13534874,2.34,0,2-024,128.9124533,35.1357543,2.31,1,80,,,,,
2-134,128.912875,35.13532302,2.51,0,2-133,128.9124194,35.13534874,2.34,1,80,,,,,
2-135,128.908984,35.13516306,2.3,0,2-129,128.9089537,35.13554423,2.5,0,80,,,,,
2-135,128.908984,35.13516306,2.3,1,2-135-1,128.9100126,35.13510505,2.33,0,80,,,,,
2-135-1,128.9100125,35.13510505,2.33,0,2-136,128.91084,35.13505838,2.59,1,80,,,,,
2-136,128.91084,35.13505837,2.59,0,2-140,128.9108092,35.13468968,2.47,0,80,,,,,
2-137,128.9114836,35.13502205,2.65,0,2-141,128.9114529,35.13465337,2.67,0,80,,,,,
2-138,128.9128433,35.13494534,2.7,1,2-134,128.912875,35.13532303,2.51,0,80,,,,,
2-138,128.9128433,35.13494534,2.7,1,2-138-1,128.9123332,35.13497413,2.5,0,80,,,,,
2-138-1,128.9123331,35.13497413,2.5,0,2-137,128.9114837,35.13502206,2.65,1,80,,,,,
2-139,128.9090141,35.13479092,2.06,0,2-135,128.908984,35.13516306,2.3,0,80,,,,,
2-139,128.9090141,35.13479092,2.06,1,2-139-1,128.9099818,35.13473635,2.2,0,80,,,,,
2-139-1,128.9099817,35.13473634,2.2,0,2-140,128.9108092,35.13468968,2.47,1,80,,,,,
2-140,128.9108092,35.13468967,2.47,2,2-147,128.9107781,35.13431739,2.35,0,80,,,,,
2-141,128.9114528,35.13465337,2.67,2,2-151,128.9113988,35.13400681,2.69,1,80,,,,,
2-142,128.9119017,35.13462804,2.73,0,2-141,128.9114529,35.13465337,2.67,1,80,,,,,
2-143,128.9122475,35.13460853,2.62,2,2-142,128.9119017,35.13462805,2.73,2,80,,,,,
2-143,128.9122475,35.13460853,2.62,0,2-144,128.9128126,35.13457665,2.9,1,80,,,,,
2-144,128.9128125,35.13457664,2.9,0,2-138,128.9128434,35.13494535,2.7,2,80,,,,,
2-145,128.9105107,35.13407949,2.24,0,2-149,128.9107571,35.13406561,2.35,0,80,,,,,
2-145,128.9105107,35.13407949,2.24,1,2-156,128.9104935,35.13387267,2.3,0,80,,,,,
2-146,128.9090437,35.13441522,1.82,0,2-139,128.9090142,35.13479093,2.06,2,80,,,,,
2-146,128.9090437,35.13441522,1.82,1,2-147,128.9107781,35.13431739,2.35,1,80,,,,,
2-147,128.910778,35.13431739,2.35,0,2-149,128.9107571,35.13406561,2.35,1,80,,,,,
2-148,128.9090639,35.1341611,1.77,1,2-146,128.9090437,35.13441522,1.82,0,80,,,,,
2-148,128.9090653,35.13416102,1.77,1,2-145,128.9105108,35.1340795,2.24,2,80,,,,,
2-148,128.9090639,35.1341611,1.77,2,2-155,128.9090805,35.13395237,1.85,0,80,,,,,
2-149,128.910757,35.13406561,2.35,2,2-150,128.9109475,35.13405487,2.39,0,80,,,,,
2-150,128.9109475,35.13405486,2.39,0,2-150-1,128.9110986,35.13404633,2.49,0,80,,,,,
2-150-1,128.9110986,35.13404633,2.49,0,2-150-2,128.9111628,35.13402013,2.537,0,80,,,,,
2-150-2,128.9111628,35.13402012,2.537,0,2-151,128.9113988,35.13400681,2.69,2,80,,,,,
2-151,128.9113987,35.1340068,2.69,1,2-151-1,128.9116232,35.13399415,2.765,0,80,,,,,
2-151-1,128.9116232,35.13399414,2.765,0,2-152,128.9118484,35.13399025,2.84,0,80,,,,,
2-152,128.9118483,35.13399025,2.84,0,2-152-1,128.9120266,35.13400818,2.845,0,80,,,,,
2-152,128.9118483,35.13399025,2.84,1,2-142,128.9119017,35.13462805,2.73,2,80,,,,,
2-152-1,128.9120265,35.13400818,2.845,0,2-153,128.9122004,35.13404508,2.85,2,80,,,,,
2-153,128.9122004,35.13404507,2.85,1,2-143,128.9122475,35.13460854,2.62,2,80,,,,,
2-153,128.9122004,35.13404507,2.85,0,2-153-1,128.9125055,35.13416891,2.867,0,80,,,,,
2-153-1,128.9125054,35.1341689,2.867,0,2-154,128.9127909,35.13431804,2.884,0,80,,,,,
2-154,128.9127909,35.13431803,2.884,0,2-144,128.9128126,35.13457665,2.9,0,80,,,,,
2-155,128.9090805,35.13395236,1.85,1,2-155-1,128.9099123,35.13390546,2.18,0,80,,,,,
2-155,128.9090805,35.13395236,1.85,0,2-157,128.9091095,35.13358934,2.16,0,80,,,,,
2-155-1,128.9099122,35.13390545,2.18,0,2-156,128.9104935,35.13387267,2.3,1,80,,,,,
2-156,128.9104935,35.13387267,2.3,0,2-158,128.9104634,35.13351297,2.5,0,80,,,,,
2-157,128.9091094,35.13358933,2.16,1,2-157-1,128.9098822,35.13354576,2.52,0,80,,,,,
2-157,128.9091094,35.13358933,2.16,2,2-159,128.9091384,35.13322632,2.47,0,80,,,,,
2-157-1,128.9098822,35.13354575,2.52,0,2-158,128.9104634,35.13351297,2.5,1,80,,,,,
2-158,128.9104634,35.13351296,2.5,2,2-160,128.9104334,35.13315327,2.69,0,80,,,,,
2-159,128.9091384,35.13322631,2.47,1,2-159-1,128.9098521,35.13318606,2.86,0,80,,,,,
2-159,128.9091384,35.13322631,2.47,0,2-163,128.9091601,35.13295404,2.71,0,80,,,,,
2-159-1,128.9098521,35.13318605,2.86,0,2-160,128.9104334,35.13315327,2.69,1,80,,,,,
2-160,128.9104333,35.13315326,2.69,0,2-160-1,128.9104307,35.13312119,2.703,0,80,,,,,
2-160-1,128.9104307,35.13312118,2.703,0,2-162,128.9105801,35.13298652,2.77,1,80,,,,,
2-162,128.91058,35.13298651,2.77,0,2-170,128.9108767,35.13320857,2.876,0,80,,,,,
2-163,128.9091601,35.13295403,2.71,1,2-169,128.909823,35.13291666,2.858,0,80,,,,,
2-163,128.9091601,35.13295403,2.71,2,2-165,128.9091898,35.13258194,3.03,0,80,,,,,
2-164,128.9101241,35.13264519,2.96,1,2-162,128.9105801,35.13298652,2.77,0,80,,,,,
2-165,128.9091897,35.13258193,3.03,2,2-167,128.9092171,35.13223882,3.28,0,80,,,,,
2-165,128.9091897,35.13258193,3.03,1,2-164,128.9101241,35.1326452,3.02,1,80,,,,,
2-166,128.9099801,35.13253736,3.02,0,2-164,128.9101241,35.1326452,2.96,2,80,,,,,
2-167,128.9092171,35.13223882,3.28,0,2-168,128.9095734,35.13223297,3.385,0,80,,,,,
2-168,128.9095734,35.13223296,3.385,0,2-166,128.9099801,35.13253737,3.02,0,80,,,,,
2-169,128.909823,35.13291666,2.858,0,2-164,128.9101241,35.1326452,2.96,1,80,,,,,
2-170,128.9108767,35.13320856,2.876,0,2-150,128.9109475,35.13405487,2.39,1,80,,,,,
