id,no,X,Y,Z,size,height,diameter
1,M1-S1-001-1,128.9066406,35.16002251,0,1300mm,1.28m,300
2,M1-S1-001-2,128.9066491,35.16012473,0,1300mm,1.20m,300
3,M1-S1-002-1,128.9064799,35.15954741,0,1300mm,1.22m,200
4,M1-S1-003-1,128.9062609,35.15955975,0,1300mm,1.23m,200
5,M1-S1-004-1,128.9063594,35.15955419,0,1300mm,1.29m,200
6,M1-S1-004-2,128.9063189,35.1590686,0,1300mm,1.65m,200
7,M1-S1-005-1,128.9059392,35.15958371,0,1300mm,1.39m,200
8,M1-S1-005-2,128.9058424,35.15917442,0,1300mm,1.61m,200
9,M1-S1-006-1,128.9057667,35.15855757,0,1300mm,1.72m,200
10,M1-S1-007-1,128.9062738,35.15852906,0,1300mm,1.88m,200
11,M1-S1-007-2,128.9062287,35.15798952,0,1300mm,1.89m,200
12,M1-S1-007-3,128.9061746,35.15734151,0,1300mm,1.98m,300
13,M1-S1-007-4,128.9064155,35.15732794,0,1300mm,2.00m,300
14,M1-S1-008-1,128.9057638,35.15841104,0,1300mm,1.23m,200
15,M1-S1-008-2,128.9057364,35.15791878,0,1300mm,1.28m,200
16,M1-S1-009-1,128.9056114,35.15737324,0,1300mm,1.29m,200
17,M1-S1-010-1,128.9061569,35.15712973,0,1300mm,1.23m,200
18,M1-S1-011-1,128.9056878,35.15694678,0,1300mm,1.23m,200
19,M1-S1-012-1,128.9061395,35.15692133,0,1300mm,2.23m,200
20,M1-S1-013-1,128.9056475,35.15655152,0,1300mm,0.98m,200
21,M1-S1-014-1,128.9061064,35.15652567,0,1300mm,2.13m,200
22,M1-S1-015-1,128.9060696,35.15608504,0,1300mm,1.92m,200
23,M1-S1-016-1,128.9054525,35.15611981,0,1300mm,1.87m,200
24,M1-S1-017-1,128.9058255,35.15566513,0,1300mm,1.23m,200
25,M1-S1-018-1,128.9054305,35.15568738,0,1300mm,1.90m,200
26,M1-S1-019-1,128.905766,35.15531613,0,1300mm,1.23m,200
27,M1-S1-020-1,128.9053573,35.15533915,0,1300mm,2.01m,200
28,M1-S1-021-1,128.9057559,35.15491917,0,1300mm,1.23m,200
29,M1-S1-022-1,128.9052528,35.15494751,0,1300mm,2.07m,200
30,M1-S1-023-1,128.9059972,35.15547247,0,1300mm,1.23m,200
31,M1-S1-023-2,128.9059585,35.15501866,0,1300mm,1.28m,200
32,M1-S1-024-1,128.9058646,35.1538946,0,1300mm,1.77m,200
33,M1-S1-025-1,128.9059172,35.15452407,0,1300mm,2.02m,200
34,M1-S1-026-1,128.905197,35.15456464,0,1300mm,2.18m,200
35,M1-S1-027-1,128.9056947,35.15416211,0,1300mm,1.23m,200
36,M1-S1-028-1,128.9051308,35.15419388,0,1300mm,2.17m,200
37,M1-S1-029-1,128.9057982,35.15309922,0,1300mm,2.10m,200
38,M1-S1-030-1,128.905853,35.15375567,0,1300mm,2.05m,200
39,M1-S1-031-1,128.9050619,35.15380024,0,1300mm,2.32m,200
40,M1-S1-032-1,128.9056429,35.15336998,0,1300mm,1.23m,200
41,M1-S1-033-1,128.9050085,35.15340572,0,1300mm,2.27m,200
42,M1-S1-034-1,128.9055865,35.15297563,0,1300mm,1.23m,200
43,M1-S1-035-1,128.9049544,35.15301123,0,1300mm,2.32m,200
44,M1-S1-036-1,128.9057727,35.15279348,0,1300mm,1.23m,200
45,M1-S1-037-1,128.9057305,35.15228897,0,1300mm,1.84m,200
46,M1-S1-038-1,128.9057546,35.15257766,0,1300mm,1.80m,200
47,M1-S1-039-1,128.9048867,35.15262655,0,1300mm,2.52m,200
48,M1-S1-040-1,128.9055488,35.15220077,0,1300mm,1.23m,200
49,M1-S1-041-1,128.9048594,35.15223959,0,1300mm,2.58m,200
50,M1-S1-042-1,128.9048832,35.1518046,0,1300mm,3.49m,200
51,M1-S1-043-1,128.9057106,35.15205033,0,1300mm,1.23m,200
52,M1-S1-044-1,128.9056773,35.15176779,0,1300mm,1.23m,200
53,M1-S1-045-1,128.9048909,35.15161233,0,1300mm,4.08m,200
54,M1-S1-046-1,128.9056495,35.15145022,0,1300mm,1.23m,200
55,M1-S1-047-1,128.9055744,35.15055099,0,1300mm,2.07m,200
56,M1-S1-048-1,128.9056067,35.15093766,0,1300mm,1.97m,200
57,M1-S1-049-1,128.9051677,35.15147737,0,1300mm,1.23m,200
58,M1-S1-050-1,128.9050926,35.15057813,0,1300mm,1.23m,200
59,M1-S1-051-1,128.9051249,35.15096481,0,1300mm,2.16m,200
60,M1-S1-052-1,128.9047484,35.15098601,0,1300mm,4.25m,200
61,M1-S1-053-1,128.9046936,35.1509891,0,1300mm,4.31m,200
62,M1-S1-053-2,128.9046797,35.15041853,0,1300mm,4.25m,200
63,M1-S1-054-1,128.904736,35.14980139,0,1300mm,4.51m,200
64,M1-S1-055-1,128.9050749,35.15023447,0,1300mm,1.23m,200
65,M1-S1-056-1,128.9049938,35.14926328,0,1300mm,1.23m,200
66,M1-S1-057-1,128.9050276,35.14966725,0,1300mm,4.49m,200
67,M1-S1-058-1,128.9055456,35.15020703,0,1300mm,1.23m,200
68,M1-S1-059-1,128.9054645,35.14923584,0,1300mm,1.23m,200
69,M1-S1-060-1,128.9054983,35.14964051,0,1300mm,4.45m,200
70,M1-S1-061-1,128.905772,35.14962508,0,1300mm,4.81m,200
71,M1-S1-062-1,128.9057241,35.14905177,0,1300mm,4.74m,200
72,M1-S1-063-1,128.9056851,35.14858416,0,1300mm,4.69m,300
73,M1-S1-063-2,128.9061942,35.14855547,0,1300mm,5.06m,300
74,M1-S1-063-3,128.9068511,35.14851845,0,1300mm,5.29m,300
75,M1-S1-063-4,128.907508,35.14848143,0,1300mm,5.23m,300
76,M1-S1-063-5,128.9081649,35.14844441,0,1300mm,5.12m,300
77,M1-S1-064-1,128.9068298,35.16011456,0,1300mm,1.09m,300
78,M1-S1-064-2,128.9071981,35.16009379,0,1300mm,1.41m,300
79,M1-S1-064-3,128.9078551,35.16005678,0,1300mm,1.64m,300
80,M1-S1-064-4,128.9085121,35.16001975,0,1300mm,1.44m,300
81,M1-S1-064-5,128.9091293,35.15998497,0,1300mm,1.31m,300
82,M1-S1-065-1,128.9098,35.15994716,0,1300mm,1.62m,300
83,M1-S1-065-2,128.9097467,35.1593098,0,1300mm,1.85m,300
84,M1-S1-065-3,128.9096933,35.15867134,0,1300mm,2.34m,300
85,M1-S1-065-4,128.9096415,35.15805087,0,1300mm,2.27m,300
86,M1-S1-065-5,128.9095964,35.15751132,0,1300mm,2.15m,300
87,M1-S1-066-1,128.9186814,35.15912626,0,1300mm,1.34m,300
88,M1-S1-066-2,128.9180557,35.15927729,0,1300mm,1.55m,300
89,M1-S1-066-3,128.9173194,35.15941694,0,1300mm,1.46m,300
90,M1-S1-067-1,128.9165636,35.15951925,0,1300mm,1.34m,300
91,M1-S1-067-2,128.9160233,35.15956761,0,1300mm,1.28m,300
92,M1-S1-067-3,128.9154779,35.15959985,0,1300mm,1.45m,300
93,M1-S1-067-4,128.914821,35.15963691,0,1300mm,1.70m,300
94,M1-S1-068-1,128.914164,35.15967397,0,1300mm,2.26m,300
95,M1-S1-068-2,128.913726,35.15969868,0,1300mm,2.22m,300
96,M1-S1-068-3,128.913069,35.15973573,0,1300mm,2.11m,300
97,M1-S1-069-1,128.912412,35.15977278,0,1300mm,2.13m,300
98,M1-S1-069-2,128.911755,35.15980983,0,1300mm,2.37m,300
99,M1-S1-069-3,128.9109907,35.15985292,0,1300mm,2.34m,300
100,M1-S1-070-1,128.9102083,35.15989704,0,1300mm,2.27m,300
101,M1-S1-070-2,128.9101536,35.15924169,0,1300mm,2.71m,300
102,M1-S1-071-1,128.9100972,35.15856726,0,1300mm,2.97m,300
103,M1-S1-071-2,128.9100521,35.15802771,0,1300mm,2.88m,300
104,M1-S1-071-3,128.910007,35.15748817,0,1300mm,2.77m,300
105,M1-S1-071-4,128.9099798,35.15716318,0,1300mm,3.87m,300
106,M1-S1-072-1,128.9129221,35.15589215,0,1300mm,1.89m,300
107,M1-S1-072-2,128.9130558,35.15642394,0,1300mm,1.99m,300
108,M1-S1-073-1,128.913175,35.15682038,0,1300mm,2.90m,300
109,M1-S1-073-2,128.9123889,35.15686472,0,1300mm,3.06m,300
110,M1-S1-073-3,128.9117319,35.15690177,0,1300mm,3.19m,300
111,M1-S1-074-1,128.9103996,35.15603275,0,1300mm,1.34m,300
112,M1-S1-075-1,128.9104443,35.15656781,0,1300mm,1.34m,300
113,M1-S1-076-1,128.9109909,35.15599987,0,1300mm,1.34m,300
114,M1-S1-076-2,128.9110356,35.15653446,0,1300mm,1.34m,300
115,M1-S1-077-1,128.9110694,35.15693913,0,1300mm,3.08m,300
116,M1-S1-077-2,128.910522,35.15696999,0,1300mm,3.23m,300
117,M1-S1-078-1,128.9099663,35.15700132,0,1300mm,4.07m,400
118,M1-S1-078-2,128.9099215,35.15646176,0,1300mm,4.30m,400
119,M1-S1-079-1,128.9098761,35.15592223,0,1300mm,4.48m,400
120,M1-S1-079-2,128.9098416,35.15550985,0,1300mm,4.62m,400
121,M1-S1-079-3,128.9097965,35.15497031,0,1300mm,4.50m,400
122,M1-S1-080-1,128.9120572,35.1542141,0,1300mm,1.34m,300
123,M1-S1-080-2,128.9114879,35.15424621,0,1300mm,1.18m,300
124,M1-S1-081-1,128.9103559,35.15550915,0,1300mm,1.34m,300
125,M1-S1-081-2,128.9103231,35.15511733,0,1300mm,1.49m,300
126,M1-S1-081-3,128.9102892,35.15471133,0,1300mm,1.39m,300
127,M1-S1-083-1,128.9109458,35.15546033,0,1300mm,1.34m,300
128,M1-S1-083-2,128.9109133,35.15507096,0,1300mm,1.49m,300
129,M1-S1-084-1,128.9108804,35.15467799,0,1300mm,2.61m,300
130,M1-S1-085-1,128.9108474,35.15428232,0,1300mm,2.58m,300
131,M1-S1-085-2,128.9103391,35.15431099,0,1300mm,2.74m,300
132,M1-S1-086-1,128.9097442,35.15434452,0,1300mm,4.30m,400
133,M1-S1-086-2,128.9096867,35.1536566,0,1300mm,4.60m,400
134,M1-S1-087-1,128.9096341,35.15302714,0,1300mm,4.89m,400
135,M1-S1-087-2,128.9096011,35.15263228,0,1300mm,4.96m,400
136,M1-S1-087-3,128.909556,35.15209273,0,1300mm,4.85m,400
137,M1-S1-088-1,128.9132011,35.15131764,0,1300mm,1.34m,300
138,M1-S1-088-2,128.912588,35.15135221,0,1300mm,1.58m,300
139,M1-S1-088-3,128.9119311,35.15138926,0,1300mm,1.79m,300
140,M1-S1-089-1,128.9112273,35.15142895,0,1300mm,1.70m,300
141,M1-S1-089-2,128.9106172,35.15146335,0,1300mm,2.22m,300
142,M1-S1-089-3,128.9099603,35.15150038,0,1300mm,2.79m,300
146,M1-S1-092-1,128.9112606,35.15126445,0,1300mm,1.46m,300
147,M1-S1-092-2,128.9106037,35.15130149,0,1300mm,2.11m,300
148,M1-S1-092-3,128.9099468,35.15133853,0,1300mm,2.76m,300
150,M1-S1-093-2,128.9094474,35.15079297,0,1300mm,5.04m,500
151,M1-S1-093-3,128.9093997,35.15022231,0,1300mm,5.17m,500
152,M1-S1-094-1,128.9093497,35.14962395,0,1300mm,5.08m,500
153,M1-S1-094-2,128.9093005,35.14903532,0,1300mm,4.69m,500
154,M1-S1-095-1,128.9121584,35.14843606,0,1300mm,1.95m,300
155,M1-S1-095-2,128.9114674,35.14847504,0,1300mm,1.64m,300
156,M1-S1-095-3,128.9108105,35.14851209,0,1300mm,1.61m,300
157,M1-S1-095-4,128.9100442,35.1485553,0,1300mm,1.61m,300
159,M1-S1-096-2,128.9092103,35.14795624,0,1300mm,4.75m,500
160,M1-S1-096-3,128.9091559,35.14730437,-1.82,1300mm,5.13m,500
161,M1-S1-097-1,128.9077912,35.15713748,0,1300mm,1.34m,300
162,M1-S1-097-2,128.9082292,35.15711279,0,1300mm,1.64m,300
163,M1-S1-097-3,128.9088861,35.15707576,0,1300mm,1.99m,300
164,M1-S1-098-1,128.9095568,35.15703796,0,1300mm,3.94m,300
165,M1-S1-098-2,128.909508,35.15645345,0,1300mm,4.01m,300
166,M1-S1-099-1,128.9094611,35.15589269,0,1300mm,4.51m,300
167,M1-S1-099-2,128.909431,35.155533,0,1300mm,4.58m,300
168,M1-S1-099-3,128.9093859,35.15499345,0,1300mm,4.49m,300
169,M1-S1-100-1,128.9075998,35.15445184,0,1300mm,1.34m,300
170,M1-S1-100-2,128.9082239,35.15441666,0,1300mm,1.46m,300
171,M1-S1-100-3,128.9086619,35.15439198,0,1300mm,2.55m,300
172,M1-S1-101-1,128.9093325,35.15435418,0,1300mm,4.43m,400
173,M1-S1-101-2,128.9092761,35.15367975,0,1300mm,4.74m,400
174,M1-S1-102-1,128.9092235,35.15305028,0,1300mm,5.03m,400
175,M1-S1-102-2,128.9091905,35.15265543,0,1300mm,5.11m,400
176,M1-S1-102-3,128.9091455,35.15211587,0,1300mm,4.99m,400
177,M1-S1-103-1,128.9069811,35.15165477,0,1300mm,1.34m,300
178,M1-S1-103-2,128.9076597,35.15161651,0,1300mm,2.08m,300
179,M1-S1-103-3,128.9084263,35.15157331,0,1300mm,2.73m,300
180,M1-S1-104-1,128.909097,35.15153551,0,1300mm,4.83m,400
181,M1-S1-105-1,128.9073859,35.15149644,0,1300mm,1.34m,300
182,M1-S1-105-2,128.9079771,35.15146311,0,1300mm,2.10m,300
183,M1-S1-105-3,128.9085246,35.15143225,0,1300mm,2.70m,300
184,M1-S1-106-1,128.9090857,35.15140062,0,1300mm,4.82m,500
185,M1-S1-106-2,128.9090368,35.15081612,0,1300mm,5.13m,500
186,M1-S1-106-3,128.9089891,35.15024546,0,1300mm,5.31m,500
187,M1-S1-107-1,128.9089391,35.14964711,0,1300mm,5.25m,500
188,M1-S1-107-2,128.9088903,35.1490626,0,1300mm,4.83m,500
190,M1-S1-108-2,128.9087848,35.14779953,0,1300mm,5.36m,500
191,M1-S1-108-3,128.9087397,35.14725999,-2.37,1300mm,5.66m,500
192,M1-S1-108-4,128.908689,35.14665308,-2.41,1300mm,5.62m,500
193,M1-S1-108-5,128.9086485,35.14616906,-2.44,1300mm,5.79m,500
194,M1-S1-108-6,128.9086044,35.14564135,-2.47,1300mm,5.69m,500
195,M1-S1-109-1,128.9064174,35.15735042,0,1300mm,2.79m,300
196,M1-S1-109-2,128.9069265,35.15732173,0,1300mm,2.98m,300
197,M1-S1-109-3,128.9075835,35.1572847,0,1300mm,3.24m,300
198,M1-S1-109-4,128.9082405,35.15724768,0,1300mm,3.33m,300
199,M1-S1-109-5,128.9088974,35.15721065,0,1300mm,3.23m,300
200,M1-S1-110-1,128.9095681,35.15717285,0,1300mm,3.86m,300
201,M1-S1-111-1,128.9122377,35.15703587,0,1300mm,1.34m,300
202,M1-S1-111-2,128.9115264,35.15707599,0,1300mm,1.77m,300
203,M1-S1-111-3,128.91076,35.1571192,0,1300mm,2.15m,300
204,M1-S1-112-1,128.9120449,35.14574806,2.42,1300mm,1.34m,300
205,M1-S1-112-2,128.9120773,35.14613473,2.35,1300mm,1.49m,300
206,M1-S1-114-1,128.91194,35.14449245,2.36,1300mm,1.34m,300
207,M1-S1-114-2,128.9118871,35.14385966,2.28,1300mm,1.51m,300
208,M1-S1-115-1,128.9108152,35.14455354,3.14,1300mm,1.34m,300
209,M1-S1-115-2,128.9107625,35.14392309,3.06,1300mm,1.26m,300
210,M1-S1-116-1,128.9107079,35.14326984,2.96,1300mm,1.34m,300
211,M1-S1-116-2,128.9112142,35.14324129,2.8,1300mm,1.40m,300
212,M1-S1-117-1,128.9118325,35.14320642,2.19,1300mm,1.76m,300
213,M1-S1-118-1,128.9118323,35.14252072,2.1,1300mm,1.87m,300
214,M1-S1-118-2,128.9119463,35.14214221,1.05,1300mm,2.84m,300
408,M1-S1-118-3,128.9121779,35.14174664,-2.14,1300mm,5.88m,300
217,M1-S1-121-1,128.9120884,35.1400386,2.58,1300mm,1.34m,300
218,M1-S1-121-2,128.9125939,35.14045154,0.89,1300mm,2.72m,300
219,M1-S1-121-3,128.9129201,35.14071801,-2.2,1300mm,5.68m,300
221,M1-S1-123-1,128.9152805,35.13778385,2.37,1300mm,1.95m,300
222,M1-S1-123-2,128.9148634,35.13831629,2.29,1300mm,1.74m,300
223,M1-S1-124-1,128.9144529,35.13884038,0.78,1300mm,2.87m,300
224,M1-S1-124-2,128.914151,35.13922591,0.46,1300mm,3.12m,300
225,M1-S1-124-3,128.9137947,35.13968071,0.09,1300mm,3.56m,300
226,M1-S1-124-4,128.9135029,35.1400533,-2.22,1300mm,5.91m,300
229,M1-S1-126-1,128.9106243,35.14108596,2.88,1300mm,1.34m,300
230,M1-S1-127-1,128.9105928,35.14070905,1.88,1300mm,2.49m,300
231,M1-S1-127-2,128.9106087,35.14065208,1.88,1300mm,2.32m,300
232,M1-S1-127-3,128.9111337,35.14021845,1.79,1300mm,2.69m,300
233,M1-S1-128-1,128.9116753,35.13977107,1.71,1300mm,2.48m,300
234,M1-S1-128-2,128.9120328,35.13947573,0.64,1300mm,3.89m,300
235,M1-S1-128-3,128.9123357,35.13922557,-2.27,1300mm,6.87m,300
237,M1-S1-130-1,128.914333,35.1375757,3.05,1300mm,1.39m,300
238,M1-S1-130-2,128.9139529,35.13788967,2.91,1300mm,1.35m,300
239,M1-S1-131-1,128.9136229,35.13816233,2.19,1300mm,1.83m,300
240,M1-S1-131-2,128.9132708,35.13845314,0.92,1300mm,3.30m,300
241,M1-S1-131-3,128.912922,35.13874123,-2.33,1300mm,6.72m,300
243,M1-S1-133-1,128.9126164,35.13766431,1.47,1300mm,2.79m,300
244,M1-S1-133-2,128.9121129,35.13808024,-2.38,1300mm,7.19m,300
245,M1-S1-134-1,128.9116028,35.13850155,1.21,1300mm,3.47m,300
246,M1-S1-134-2,128.9120355,35.13814415,-2.38,1300mm,7.20m,300
249,M1-S1-136-1,128.9125959,35.13746325,2.69,1300mm,1.50m,300
250,M1-S1-137-1,128.913436,35.13570795,2.25,1300mm,1.84m,300
251,M1-S1-137-2,128.9126098,35.13575456,2.16,1300mm,1.31m,300
252,M1-S1-137-3,128.9118443,35.13579774,2.08,1300mm,1.64m,300
253,M1-S1-137-4,128.9110773,35.135841,2,1300mm,1.85m,300
254,M1-S1-137-5,128.9102672,35.13588667,1.91,1300mm,1.72m,300
255,M1-S1-138-1,128.9118623,35.13620329,2.43,1300mm,1.34m,300
256,M1-S1-138-2,128.9114487,35.13622662,2.33,1300mm,1.56m,300
257,M1-S1-138-3,128.9107919,35.13626366,2.16,1300mm,1.61m,300
258,M1-S1-138-4,128.9101351,35.1363007,2,1300mm,1.55m,300
259,M1-S1-139-1,128.9095385,35.13633434,0.93,1300mm,2.32m,300
260,M1-S1-140-1,128.9095047,35.13592969,0.87,1300mm,2.57m,300
261,M1-S1-140-2,128.908674,35.13597652,-2.8,1300mm,5.99m,300
262,M1-S1-141-1,128.9121129,35.14656097,0,1300mm,1.38m,300
263,M1-S1-141-2,128.9115478,35.14659284,0,1300mm,1.68m,300
264,M1-S1-141-3,128.9109765,35.14662507,0,1300mm,2.05m,300
265,M1-S1-141-4,128.9104354,35.14665558,0,1300mm,2.80m,300
266,M1-S1-141-5,128.9097785,35.14669262,0,1300mm,2.83m,300
273,M1-S1-144-1,128.9095537,35.14459528,2.66,1300mm,1.34m,300
274,M1-S1-144-2,128.9094972,35.14391859,2.43,1300mm,1.36m,300
275,M1-S1-145-1,128.9094406,35.14324192,1.42,1300mm,2.14m,300
286,M1-S1-151-1,128.9099376,35.139877,3.01,1300mm,1.34m,300
287,M1-S1-151-2,128.9104019,35.13949352,2.3,1300mm,2.24m,300
288,M1-S1-152-1,128.9113939,35.13867413,3.23,1300mm,1.34m,300
289,M1-S1-153-1,128.9109087,35.13907491,1.53,1300mm,2.83m,300
290,M1-S1-154-1,128.9103431,35.13858386,1.44,1300mm,2.38m,300
291,M1-S1-155-1,128.9099118,35.13800812,1.35,1300mm,2.09m,300
292,M1-S1-155-2,128.9096684,35.13741717,-2.53,1300mm,6.09m,300
294,M1-S1-158-1,128.9124584,35.1372177,2.24,1300mm,1.72m,300
295,M1-S1-158-2,128.9119976,35.13724369,1.08,1300mm,3.04m,300
296,M1-S1-158-3,128.9113986,35.13727748,-2.43,1300mm,6.73m,300
297,M1-S1-159-1,128.9111623,35.13819702,2.48,1300mm,1.91m,300
298,M1-S1-159-2,128.9108452,35.13782923,1.08,1300mm,3.09m,300
